product_id,region,category,base_cost,brand_strength_score,price_tier,max_allowed_mark_uppct,recommended_selling_price,mark_up_pct_used,warning,markup_violation
10001,Germany,Food & Refreshment,12.72,2,Value,12,14.2464,12.00000000000001,OK,True
10002,Spain,Food & Refreshment,6.97,4,Standard,28,8.9216,28.000000000000004,OK,True
10003,UK,Food & Refreshment,10.77,2,Value,12,12.0624,12.00000000000001,OK,True
10004,Germany,Food & Refreshment,11.11,3,Value,12,12.4432,12.00000000000001,OK,True
10005,Germany,Food & Refreshment,3.02,4,Standard,28,3.8656,28.000000000000004,OK,True
10006,Spain,Personal Care,5.74,4,Standard,30,7.462000000000001,30.000000000000004,OK,True
10007,UK,Food & Refreshment,9.74,10,Premium,55,15.097,55.00000000000001,OK,True
10008,UK,Food & Refreshment,1.53,9,Premium,55,2.3715,55.00000000000001,OK,True
10009,Germany,Personal Care,5.74,10,Premium,60,9.184,60.00000000000001,OK,True
10010,France,Personal Care,8.25,6,Standard,30,10.725,30.000000000000004,OK,True
10011,Germany,Personal Care,14.95,9,Premium,60,23.92,60.00000000000001,OK,True
10012,Germany,Personal Care,7.38,4,Standard,30,9.594,30.000000000000004,OK,True
10013,Germany,Personal Care,12.33,9,Premium,60,19.728,60.00000000000001,OK,True
10014,Germany,Personal Care,6.76,9,Premium,60,10.816,60.00000000000001,OK,True
10015,Spain,Food & Refreshment,12.05,6,Standard,28,15.424,28.000000000000004,OK,True
10016,UK,Food & Refreshment,9.13,5,Standard,28,11.6864,28.000000000000004,OK,True
10017,Spain,Home Care,13.36,3,Value,10,14.696,10.000000000000009,OK,True
10018,Spain,Food & Refreshment,6.46,5,Standard,28,8.2688,28.000000000000004,OK,True
10019,Spain,Food & Refreshment,9.26,3,Value,12,10.3712,12.00000000000001,OK,True
10020,Germany,Personal Care,9.64,5,Standard,30,12.532000000000002,30.000000000000004,OK,True
10021,France,Personal Care,6.55,5,Standard,30,8.515,30.000000000000004,OK,True
10022,UK,Food & Refreshment,2.59,2,Value,12,2.9008000000000003,12.00000000000001,OK,True
10023,France,Home Care,1.86,9,Premium,50,2.79,50.0,OK,False
10024,Spain,Personal Care,0.74,7,Standard,30,0.962,30.000000000000004,OK,True
10025,Spain,Food & Refreshment,13.17,6,Standard,28,16.8576,28.000000000000004,OK,True
10026,France,Food & Refreshment,3.93,5,Standard,28,5.0304,28.000000000000004,OK,True
10027,France,Home Care,3.57,4,Standard,25,4.4624999999999995,25.0,OK,False
10028,France,Home Care,11.17,8,Premium,50,16.755,50.0,OK,False
10029,Spain,Personal Care,5.14,2,Value,15,5.911,14.999999999999991,OK,False
10030,Spain,Home Care,7.84,8,Premium,50,11.76,50.0,OK,False
10031,UK,Food & Refreshment,2.86,1,Value,12,3.2032000000000003,12.00000000000001,OK,True
10032,UK,Food & Refreshment,14.42,10,Premium,55,22.351,55.00000000000001,OK,True
10033,Spain,Home Care,12.85,1,Value,10,14.135000000000002,10.000000000000009,OK,True
10034,France,Home Care,13.02,3,Value,10,14.322,10.000000000000009,OK,True
10035,France,Home Care,6.4,5,Standard,25,8.0,25.0,OK,False
10036,UK,Home Care,11.55,6,Standard,25,14.4375,25.0,OK,False
10037,Spain,Personal Care,2.59,4,Standard,30,3.367,30.000000000000004,OK,True
10038,UK,Home Care,0.62,7,Standard,25,0.775,25.0,OK,False
10039,UK,Personal Care,0.79,7,Standard,30,1.027,30.000000000000004,OK,True
10040,Germany,Food & Refreshment,9.01,2,Value,12,10.0912,12.00000000000001,OK,True
10041,Germany,Home Care,7.1,2,Value,10,7.81,10.000000000000009,OK,True
10042,Germany,Personal Care,8.01,2,Value,15,9.2115,14.999999999999991,OK,False
10043,France,Home Care,0.61,2,Value,10,0.671,10.000000000000009,OK,True
10044,Spain,Food & Refreshment,6.63,9,Premium,55,10.2765,55.00000000000001,OK,True
10045,Spain,Food & Refreshment,10.91,5,Standard,28,13.9648,28.000000000000004,OK,True
10046,Spain,Food & Refreshment,6.92,8,Premium,55,10.726,55.00000000000001,OK,True
10047,Spain,Home Care,11.12,5,Standard,25,13.9,25.0,OK,False
10048,Germany,Home Care,3.88,5,Standard,25,4.85,25.0,OK,False
10049,France,Personal Care,12.29,1,Value,15,14.133499999999998,14.999999999999991,OK,False
10050,France,Food & Refreshment,9.03,6,Standard,28,11.5584,28.000000000000004,OK,True
10051,Germany,Home Care,3.56,4,Standard,25,4.45,25.0,OK,False
10052,France,Food & Refreshment,3.93,3,Value,12,4.4016,12.00000000000001,OK,True
10053,Germany,Food & Refreshment,9.61,6,Standard,28,12.3008,28.000000000000004,OK,True
10054,Spain,Personal Care,12.53,2,Value,15,14.409499999999998,14.999999999999991,OK,False
10055,Germany,Personal Care,6.53,8,Premium,60,10.448,60.00000000000001,OK,True
10056,Spain,Personal Care,4.25,1,Value,15,4.887499999999999,14.999999999999991,OK,False
10057,Spain,Personal Care,13.07,9,Premium,60,20.912000000000003,60.00000000000001,OK,True
10058,UK,Food & Refreshment,10.2,8,Premium,55,15.81,55.00000000000001,OK,True
10059,Germany,Personal Care,7.0,1,Value,15,8.049999999999999,14.999999999999991,OK,False
10060,UK,Personal Care,7.57,10,Premium,60,12.112000000000002,60.00000000000001,OK,True
10061,Germany,Personal Care,3.46,9,Premium,60,5.5360000000000005,60.00000000000001,OK,True
10062,Germany,Personal Care,9.59,2,Value,15,11.0285,14.999999999999991,OK,False
10063,UK,Food & Refreshment,5.7,3,Value,12,6.384000000000001,12.00000000000001,OK,True
10064,UK,Personal Care,14.94,2,Value,15,17.180999999999997,14.999999999999991,OK,False
10065,Germany,Food & Refreshment,7.46,8,Premium,55,11.563,55.00000000000001,OK,True
10066,France,Home Care,7.55,2,Value,10,8.305,10.000000000000009,OK,True
10067,Spain,Food & Refreshment,8.7,10,Premium,55,13.485,55.00000000000001,OK,True
10068,UK,Food & Refreshment,13.79,2,Value,12,15.4448,12.00000000000001,OK,True
10069,Spain,Personal Care,12.11,1,Value,15,13.9265,14.999999999999991,OK,False
10070,France,Home Care,7.04,7,Standard,25,8.8,25.0,OK,False
10071,France,Home Care,10.92,2,Value,10,12.012,10.000000000000009,OK,True
10072,France,Home Care,9.0,10,Premium,50,13.5,50.0,OK,False
10073,UK,Home Care,7.64,5,Standard,25,9.55,25.0,OK,False
10074,France,Food & Refreshment,3.29,5,Standard,28,4.2112,28.000000000000004,OK,True
10075,UK,Home Care,7.23,3,Value,10,7.953000000000001,10.000000000000009,OK,True
10076,France,Food & Refreshment,4.06,3,Value,12,4.5472,12.00000000000001,OK,True
10077,Spain,Food & Refreshment,13.77,3,Value,12,15.4224,12.00000000000001,OK,True
10078,Spain,Food & Refreshment,5.36,6,Standard,28,6.8608,28.000000000000004,OK,True
10079,Germany,Home Care,14.31,4,Standard,25,17.8875,25.0,OK,False
10080,Spain,Personal Care,8.23,3,Value,15,9.4645,14.999999999999991,OK,False
10081,Germany,Personal Care,9.66,2,Value,15,11.109,14.999999999999991,OK,False
10082,Spain,Home Care,8.37,3,Value,10,9.207,10.000000000000009,OK,True
10083,UK,Personal Care,2.38,4,Standard,30,3.094,30.000000000000004,OK,True
10084,Spain,Personal Care,5.95,6,Standard,30,7.735,30.000000000000004,OK,True
10085,Germany,Food & Refreshment,1.94,4,Standard,28,2.4832,28.000000000000004,OK,True
10086,Germany,Food & Refreshment,9.53,8,Premium,55,14.7715,55.00000000000001,OK,True
10087,France,Home Care,6.98,3,Value,10,7.678000000000001,10.000000000000009,OK,True
10088,UK,Home Care,11.78,3,Value,10,12.958,10.000000000000009,OK,True
10089,Spain,Personal Care,3.7,3,Value,15,4.255,14.999999999999991,OK,False
10090,France,Food & Refreshment,2.89,8,Premium,55,4.479500000000001,55.00000000000003,OK,True
10091,Spain,Home Care,6.39,4,Standard,25,7.9875,25.0,OK,False
10092,Spain,Home Care,13.94,1,Value,10,15.334,10.000000000000009,OK,True
10093,France,Home Care,10.8,2,Value,10,11.880000000000004,10.000000000000009,OK,True
10094,France,Home Care,6.57,10,Premium,50,9.855,50.0,OK,False
10095,France,Home Care,8.0,2,Value,10,8.8,10.000000000000009,OK,True
10096,France,Home Care,1.72,3,Value,10,1.892,10.000000000000009,OK,True
10097,France,Personal Care,14.78,6,Standard,30,19.214,30.000000000000004,OK,True
10098,Spain,Food & Refreshment,10.16,8,Premium,55,15.748,55.00000000000001,OK,True
10099,France,Food & Refreshment,4.64,1,Value,12,5.1968000000000005,12.00000000000001,OK,True
10100,UK,Home Care,8.99,9,Premium,50,13.485,50.0,OK,False
10101,Germany,Food & Refreshment,2.09,1,Value,12,2.3408,12.00000000000001,OK,True
10102,France,Food & Refreshment,14.5,10,Premium,55,22.475,55.00000000000001,OK,True
10103,France,Food & Refreshment,3.03,2,Value,12,3.3936,12.00000000000001,OK,True
10104,Spain,Home Care,9.9,3,Value,10,10.89,10.000000000000009,OK,True
10105,France,Home Care,4.06,7,Standard,25,5.074999999999999,25.0,OK,False
10106,France,Food & Refreshment,10.9,9,Premium,55,16.895,54.999999999999986,OK,False
10107,France,Food & Refreshment,11.76,3,Value,12,13.1712,12.00000000000001,OK,True
10108,Spain,Home Care,10.26,8,Premium,50,15.39,50.0,OK,False
10109,France,Personal Care,9.41,9,Premium,60,15.056,60.00000000000001,OK,True
10110,Germany,Food & Refreshment,13.44,10,Premium,55,20.832,55.00000000000001,OK,True
10111,Spain,Personal Care,1.64,7,Standard,30,2.132,30.000000000000004,OK,True
10112,Germany,Food & Refreshment,5.3,4,Standard,28,6.784,28.000000000000004,OK,True
10113,Spain,Personal Care,4.1,4,Standard,30,5.33,30.000000000000004,OK,True
10114,France,Personal Care,14.83,4,Standard,30,19.279,30.000000000000004,OK,True
10115,Germany,Personal Care,6.15,6,Standard,30,7.995000000000001,30.000000000000004,OK,True
10116,Spain,Home Care,11.12,4,Standard,25,13.9,25.0,OK,False
10117,UK,Personal Care,10.43,5,Standard,30,13.559,30.000000000000004,OK,True
10118,France,Personal Care,3.58,9,Premium,60,5.728000000000001,60.00000000000001,OK,True
10119,Spain,Personal Care,3.97,7,Standard,30,5.1610000000000005,30.000000000000004,OK,True
10120,UK,Food & Refreshment,4.58,8,Premium,55,7.099,55.00000000000001,OK,True
10121,Spain,Personal Care,6.46,5,Standard,30,8.398,30.000000000000004,OK,True
10122,UK,Food & Refreshment,3.9,5,Standard,28,4.992,28.000000000000004,OK,True
10123,France,Personal Care,0.78,7,Standard,30,1.014,30.000000000000004,OK,True
10124,Germany,Personal Care,13.25,8,Premium,60,21.200000000000003,60.00000000000003,OK,True
10125,UK,Home Care,14.5,9,Premium,50,21.75,50.0,OK,False
10126,Spain,Food & Refreshment,5.45,2,Value,12,6.104000000000001,12.00000000000001,OK,True
10127,France,Personal Care,5.41,3,Value,15,6.2215,14.999999999999991,OK,False
10128,UK,Food & Refreshment,0.6,2,Value,12,0.672,12.00000000000001,OK,True
10129,Spain,Food & Refreshment,10.36,10,Premium,55,16.058,55.00000000000001,OK,True
10130,Spain,Home Care,12.47,7,Standard,25,15.5875,25.0,OK,False
10131,Spain,Home Care,2.63,2,Value,10,2.893,10.000000000000009,OK,True
10132,UK,Home Care,2.82,2,Value,10,3.102,10.000000000000009,OK,True
10133,UK,Home Care,11.96,2,Value,10,13.156000000000002,10.000000000000009,OK,True
10134,UK,Home Care,9.44,4,Standard,25,11.8,25.0,OK,False
10135,Germany,Home Care,1.15,1,Value,10,1.265,10.000000000000009,OK,True
10136,UK,Home Care,9.53,2,Value,10,10.483,10.000000000000009,OK,True
10137,UK,Home Care,4.98,3,Value,10,5.478000000000001,10.000000000000009,OK,True
10138,UK,Personal Care,5.85,7,Standard,30,7.605,30.000000000000004,OK,True
10139,Germany,Food & Refreshment,11.66,10,Premium,55,18.073,55.00000000000001,OK,True
10140,UK,Home Care,12.26,1,Value,10,13.486,10.000000000000009,OK,True
10141,Spain,Home Care,6.31,6,Standard,25,7.887499999999999,25.0,OK,False
10142,UK,Food & Refreshment,14.23,3,Value,12,15.937600000000002,12.00000000000001,OK,True
10143,Spain,Personal Care,6.39,3,Value,15,7.348499999999999,14.999999999999991,OK,False
10144,Spain,Food & Refreshment,11.69,4,Standard,28,14.9632,28.000000000000004,OK,True
10145,Spain,Food & Refreshment,7.52,4,Standard,28,9.6256,28.000000000000004,OK,True
10146,Germany,Home Care,13.51,7,Standard,25,16.8875,25.0,OK,False
10147,Germany,Food & Refreshment,13.66,3,Value,12,15.2992,12.00000000000001,OK,True
10148,Germany,Food & Refreshment,1.77,8,Premium,55,2.7435,55.00000000000001,OK,True
10149,UK,Home Care,14.08,8,Premium,50,21.12,50.0,OK,False
10150,Spain,Home Care,12.47,7,Standard,25,15.5875,25.0,OK,False
10151,Germany,Home Care,11.97,2,Value,10,13.167000000000002,10.000000000000009,OK,True
10152,Germany,Home Care,3.41,5,Standard,25,4.2625,25.0,OK,False
10153,UK,Food & Refreshment,12.17,6,Standard,28,15.5776,28.000000000000004,OK,True
10154,Germany,Food & Refreshment,12.83,10,Premium,55,19.8865,55.00000000000001,OK,True
10155,UK,Personal Care,4.69,4,Standard,30,6.097,30.000000000000004,OK,True
10156,France,Personal Care,14.31,10,Premium,60,22.896,60.00000000000001,OK,True
10157,Germany,Food & Refreshment,1.22,5,Standard,28,1.5616,28.000000000000004,OK,True
10158,France,Personal Care,2.67,9,Premium,60,4.272,60.00000000000001,OK,True
10159,UK,Food & Refreshment,8.29,7,Standard,28,10.611199999999998,28.000000000000004,OK,True
10160,Spain,Personal Care,8.85,2,Value,15,10.177499999999998,14.999999999999991,OK,False
10161,Germany,Home Care,9.85,1,Value,10,10.835,10.000000000000009,OK,True
10162,UK,Personal Care,0.75,2,Value,15,0.8624999999999999,14.999999999999991,OK,False
10163,Spain,Home Care,14.43,3,Value,10,15.873,10.000000000000009,OK,True
10164,Spain,Home Care,1.15,2,Value,10,1.265,10.000000000000009,OK,True
10165,France,Home Care,2.57,3,Value,10,2.827,10.000000000000009,OK,True
10166,UK,Home Care,0.7,10,Premium,50,1.0499999999999998,49.99999999999998,OK,False
10167,Spain,Personal Care,8.72,9,Premium,60,13.952000000000002,60.00000000000001,OK,True
10168,Germany,Food & Refreshment,14.02,4,Standard,28,17.9456,28.000000000000004,OK,True
10169,Germany,Home Care,10.16,9,Premium,50,15.24,50.0,OK,False
10170,France,Personal Care,12.43,3,Value,15,14.2945,14.999999999999991,OK,False
10171,Spain,Home Care,0.69,1,Value,10,0.759,10.000000000000009,OK,True
10172,UK,Personal Care,8.36,5,Standard,30,10.868,30.000000000000004,OK,True
10173,Germany,Personal Care,7.16,10,Premium,60,11.456,60.00000000000001,OK,True
10174,Spain,Personal Care,7.74,10,Premium,60,12.384,60.00000000000001,OK,True
10175,Spain,Food & Refreshment,1.55,2,Value,12,1.7360000000000002,12.00000000000001,OK,True
10176,France,Personal Care,10.42,4,Standard,30,13.546,30.000000000000004,OK,True
10177,Germany,Personal Care,7.8,2,Value,15,8.969999999999999,14.999999999999991,OK,False
10178,Germany,Food & Refreshment,11.59,2,Value,12,12.9808,12.00000000000001,OK,True
10179,UK,Food & Refreshment,7.54,3,Value,12,8.4448,12.00000000000001,OK,True
10180,Germany,Personal Care,2.67,5,Standard,30,3.471,30.000000000000004,OK,True
10181,UK,Food & Refreshment,9.9,4,Standard,28,12.672,28.000000000000004,OK,True
10182,Germany,Home Care,3.0,2,Value,10,3.3000000000000003,10.000000000000009,OK,True
10183,France,Home Care,13.15,10,Premium,50,19.725,50.0,OK,False
10184,Germany,Food & Refreshment,9.39,2,Value,12,10.516800000000002,12.00000000000001,OK,True
10185,UK,Food & Refreshment,2.78,6,Standard,28,3.5584,28.000000000000004,OK,True
10186,UK,Personal Care,14.45,7,Standard,30,18.785,30.000000000000004,OK,True
