Product_ID,Region,Category,Base_Cost,Brand_Strength_Score,Price_Tier,Max Allowed Mark up%,Recommended_selling_price,Mark up % Used,Warning,Target_revenue,Target_margin
10001,Germany,Food & Refreshment,12.72,2,Value,12,14.2464,12.00000000000001,OK,460000,0.31
10002,Spain,Food & Refreshment,6.97,4,Standard,28,8.9216,28.0,OK,410000,0.3
10003,UK,Food & Refreshment,10.77,2,Value,12,12.0624,12.00000000000001,OK,520000,0.32
10004,Germany,Food & Refreshment,11.11,3,Value,12,12.4432,12.00000000000001,OK,460000,0.31
10005,Germany,Food & Refreshment,3.02,4,Standard,28,3.8656,28.0,OK,460000,0.31
10006,Spain,Personal Care,5.74,4,Standard,30,7.462000000000001,30.0,OK,410000,0.3
10007,UK,Food & Refreshment,9.74,10,Premium,55,15.097,55.00000000000001,OK,520000,0.32
10008,UK,Food & Refreshment,1.53,9,Premium,55,2.3715,55.00000000000001,OK,520000,0.32
10009,Germany,Personal Care,5.74,10,Premium,60,9.184000000000001,60.00000000000001,OK,460000,0.31
10010,France,Personal Care,8.25,6,Standard,30,10.725,30.0,OK,430000,0.29
10011,Germany,Personal Care,14.95,9,Premium,60,23.92,60.00000000000001,OK,460000,0.31
10012,Germany,Personal Care,7.38,4,Standard,30,9.594,30.0,OK,460000,0.31
10013,Germany,Personal Care,12.33,9,Premium,60,19.728,60.00000000000001,OK,460000,0.31
10014,Germany,Personal Care,6.76,9,Premium,60,10.816,60.00000000000001,OK,460000,0.31
10015,Spain,Food & Refreshment,12.05,6,Standard,28,15.424,28.0,OK,410000,0.3
10016,UK,Food & Refreshment,9.13,5,Standard,28,11.6864,28.0,OK,520000,0.32
10017,Spain,Home Care,13.36,3,Value,10,14.696,10.00000000000001,OK,410000,0.3
10018,Spain,Food & Refreshment,6.46,5,Standard,28,8.2688,28.0,OK,410000,0.3
10019,Spain,Food & Refreshment,9.26,3,Value,12,10.3712,12.00000000000001,OK,410000,0.3
10020,Germany,Personal Care,9.64,5,Standard,30,12.532,30.0,OK,460000,0.31
10021,France,Personal Care,6.55,5,Standard,30,8.515,30.0,OK,430000,0.29
10022,UK,Food & Refreshment,2.59,2,Value,12,2.9008,12.00000000000001,OK,520000,0.32
10023,France,Home Care,1.86,9,Premium,50,2.79,50.0,OK,430000,0.29
10024,Spain,Personal Care,0.74,7,Standard,30,0.962,30.0,OK,410000,0.3
10025,Spain,Food & Refreshment,13.17,6,Standard,28,16.8576,28.0,OK,410000,0.3
10026,France,Food & Refreshment,3.93,5,Standard,28,5.0304,28.0,OK,430000,0.29
10027,France,Home Care,3.57,4,Standard,25,4.462499999999999,25.0,OK,430000,0.29
10028,France,Home Care,11.17,8,Premium,50,16.755,50.0,OK,430000,0.29
10029,Spain,Personal Care,5.14,2,Value,15,5.911,14.99999999999999,OK,410000,0.3
10030,Spain,Home Care,7.84,8,Premium,50,11.76,50.0,OK,410000,0.3
10031,UK,Food & Refreshment,2.86,1,Value,12,3.2032,12.00000000000001,OK,520000,0.32
10032,UK,Food & Refreshment,14.42,10,Premium,55,22.351,55.00000000000001,OK,520000,0.32
10033,Spain,Home Care,12.85,1,Value,10,14.135,10.00000000000001,OK,410000,0.3
10034,France,Home Care,13.02,3,Value,10,14.322,10.00000000000001,OK,430000,0.29
10035,France,Home Care,6.4,5,Standard,25,8.0,25.0,OK,430000,0.29
10036,UK,Home Care,11.55,6,Standard,25,14.4375,25.0,OK,520000,0.32
10037,Spain,Personal Care,2.59,4,Standard,30,3.367,30.0,OK,410000,0.3
10038,UK,Home Care,0.62,7,Standard,25,0.775,25.0,OK,520000,0.32
