Region,Category,Recommended_selling_price,Brand_Strength_Score,Target_margin,Base_Cost,Actual_Is_Premium,Premium_Probability,Premium_Segment
France,Home Care,9.042000000000002,3,0.29,8.22,0,8.024217092590475e-16,Standard / Value
France,Personal Care,0.8800000000000001,8,0.29,0.55,1,0.980697399641629,Strong Premium
UK,Personal Care,3.427,3,0.32,2.98,0,8.248669927223735e-16,Standard / Value
UK,Food & Refreshment,7.616000000000001,1,0.32,6.8,0,1.563398169936383e-22,Standard / Value
UK,Food & Refreshment,19.1744,7,0.32,14.98,0,0.02030042531591194,Standard / Value
France,Food & Refreshment,13.1712,3,0.29,11.76,0,7.877051858521097e-16,Standard / Value
UK,Personal Care,16.261,2,0.32,14.14,0,3.42153503792227e-19,Standard / Value
UK,Food & Refreshment,2.0224,6,0.32,1.58,0,9.772781729437866e-06,Standard / Value
Germany,Home Care,13.59,9,0.31,9.06,1,0.9999909525142839,Strong Premium
Spain,Home Care,3.685,2,0.3,3.35,0,3.619673728718968e-19,Standard / Value
UK,Food & Refreshment,10.1024,2,0.32,9.02,0,3.514373938243984e-19,Standard / Value
UK,Home Care,13.541,3,0.32,12.31,0,7.855909709533282e-16,Standard / Value
France,Food & Refreshment,11.0976,7,0.29,8.67,0,0.02096325801132979,Standard / Value
UK,Home Care,2.475,4,0.32,1.98,0,1.88570857091119e-12,Standard / Value
France,Personal Care,16.744,4,0.29,12.88,0,1.780902151532198e-12,Standard / Value
France,Food & Refreshment,4.236800000000001,4,0.29,3.31,0,1.87228740333231e-12,Standard / Value
Germany,Personal Care,9.696,9,0.31,6.06,1,0.9999910933315734,Strong Premium
France,Food & Refreshment,19.995,9,0.29,12.9,1,0.9999907678559329,Strong Premium
France,Food & Refreshment,9.92,7,0.29,7.75,0,0.02106221792402253,Standard / Value
France,Personal Care,6.896,10,0.29,4.31,1,0.9999999961186765,Strong Premium
UK,Food & Refreshment,16.0425,10,0.32,10.35,1,0.9999999959948915,Strong Premium
Spain,Home Care,8.370000000000001,9,0.3,5.58,1,0.9999911151004539,Strong Premium
UK,Home Care,14.5125,5,0.32,11.61,0,4.07779715149074e-09,Standard / Value
Spain,Personal Care,18.538,6,0.3,14.26,0,9.144690694916426e-06,Standard / Value
Germany,Home Care,16.8625,4,0.31,13.49,0,1.775453599737353e-12,Standard / Value
UK,Food & Refreshment,12.2295,8,0.32,7.89,1,0.9799609939066015,Strong Premium
UK,Food & Refreshment,17.1776,5,0.32,13.42,0,4.039385477959026e-09,Standard / Value
Germany,Food & Refreshment,1.8048,4,0.31,1.41,0,1.891218588629605e-12,Standard / Value
France,Home Care,15.0625,6,0.29,12.05,0,9.250397473531898e-06,Standard / Value
Germany,Personal Care,7.735,7,0.31,5.95,0,0.02125977060823982,Standard / Value
France,Personal Care,17.225,5,0.29,13.25,0,4.042216601188985e-09,Standard / Value
Spain,Food & Refreshment,7.1552,6,0.3,5.59,0,9.56880024778771e-06,Standard / Value
France,Home Care,14.619,1,0.29,13.29,0,1.510948722866588e-22,Standard / Value
UK,Food & Refreshment,9.100800000000001,6,0.32,7.11,0,9.494241524282745e-06,Standard / Value
Spain,Personal Care,4.704,8,0.3,2.94,1,0.9804606044974901,Strong Premium
Spain,Food & Refreshment,11.1755,8,0.3,7.21,1,0.980028242468688,Strong Premium
Germany,Home Care,8.0,4,0.31,6.4,0,1.842510477490227e-12,Standard / Value
Germany,Personal Care,1.136,10,0.31,0.71,1,0.9999999961915338,Strong Premium
UK,Personal Care,4.2435,2,0.32,3.69,0,3.613697833489331e-19,Standard / Value
Germany,Home Care,7.106000000000001,2,0.31,6.46,0,3.561510276418939e-19,Standard / Value
UK,Home Care,8.8,3,0.32,8.0,0,8.034965882181352e-16,Standard / Value
Germany,Personal Care,1.472,2,0.31,1.28,0,3.659295093801898e-19,Standard / Value
Spain,Home Care,11.76,8,0.3,7.84,1,0.9799636629341146,Strong Premium
France,Home Care,8.305,2,0.29,7.55,0,3.540824597590167e-19,Standard / Value
Spain,Home Care,2.706,1,0.3,2.46,0,1.59908211581091e-22,Standard / Value
Germany,Food & Refreshment,15.872,7,0.31,12.4,0,0.02056921037229232,Standard / Value
Spain,Personal Care,10.0,8,0.3,6.25,1,0.9801262574688075,Strong Premium
Spain,Home Care,7.876000000000001,1,0.3,7.16,0,1.56026211606336e-22,Standard / Value
UK,Food & Refreshment,15.3605,9,0.32,9.91,1,0.9999909127831451,Strong Premium
Spain,Home Care,15.807,2,0.3,14.37,0,3.416993655571079e-19,Standard / Value
UK,Home Care,6.347,1,0.32,5.77,0,1.571841026972868e-22,Standard / Value
